STATE,DISTRICT,Storage name,Address,Manager Name,capacity
Maharashtra,Latur,M/S Dwarkamata Warehouse (Prop. Sau. S.R.Sontakke),"Gno-305, At & Tq:Jalkot",,
Maharashtra,Latur,M/S Giriraj Warehouse (Prop. Sumanmala Ramrao Sontakke),"Gno-305,Jalkot,Dist.Latur",,1245.42
Maharashtra,Latur,M/S Govindraj Warehouse,"At Post: Jalkot, Tal: Jalkot, Dist: Latur",,2500
Maharashtra,Latur,M/S Gulange Ware House,"At Post: Malkapur, Tal: Udgir, Dist: Latur",,9072
Maharashtra,Latur,M/S Hari Om Ware House (Shri Shrikant Chandrashekhar Hiremath),"Plot No. D-99 & 100, MIDC, Latur, Dist. Latur4",,3398.4
Maharashtra,Latur,M/S Jagdamba Warehouse (Prop. Smt Pramila Prabhakar Pathak),"Gut No.450, Mahalangra, Tal. Chakur, Dist. Latur",,951.5
Maharashtra,Latur,"M/S Krishi Utpanna Bazar Samiti (APMC), Renapur","Krishi Utpanna Bazar Samiti (APMC), Tal. Renapur, Dist. Latur (Maharashtra)",,1000
Maharashtra,Latur,M/S L K Warehouse,"Plot No. A-113, Addl. MIDC, Latur",,10000
Maharashtra,Latur,M/S L.K.Warehouse(Prop. Smt. Kalpana L. Shah),"Plot No A-113/1, Additional MIDC, Latur",,3000
Maharashtra,Latur,M/S Latur Cold Storage Pvt. Ltd.,"A-114,Addl.Midc,Latur",,6721.85
Maharashtra,Latur,M/S Latur Cold Storage Pvt.Ltd.,"A-114,Addl.MIDC,Latur",,9586.53
Maharashtra,Latur,M/S Mahajan Udyog,"At Post: S No. 66/10, Malkapur, Tal: Udgir, Dist: Latur",,10000
Maharashtra,Latur,M/S Narayan Warehousing (Shri Suresh Dinkar Mahajan),"Sr.No.32/B2,Somnathpuram,Tq:Udgir",,6518.56
Maharashtra,Latur,M/S Pawar Warehouse ( Prop Ritesh Annarao Pawar),"Killari, Tal: Ausa, Dist: Latur",,1500
Maharashtra,Latur,M/S R. K. Warehouse,"Raghunandan P Kunte, B/11, Additional MIDC, Latur.",,995.522
Maharashtra,Latur,M/S Santosh Warehouse,"At Post: Somnathpur, Tal: Udgir, Dist: Latur",,5200
Maharashtra,Latur,M/S Shiv Warehouse,"S NO. 142, At Post: Loni, Tal: Udgir, Dist: Latur",,4304.75
Maharashtra,Latur,M/S Shivam Warehouse ( Prop: Smt Hude Kalavati Shivajirao),"S NO. 142 (35/2), G P No. 1266, At Post: Loni, Tal: Udgir, Dist: Latur",,8800
Maharashtra,Latur,M/S Shivam Warehouse ( Prop: Smt Hude Kalavati Shivajirao),"Plot No. 1, S No. 142 (35/2), G P No. 1266, At Loni, Tal: Udgir, Dist: Latur",,8800
Maharashtra,Latur,M/S Shri Sai Ware Housing (Prop. Sau. Pratibha B Thombare),"A/P Basavantpur, Tal. Latur, Dist. Latur",,4042
Maharashtra,Latur,M/S Siddharth Warehouse (Prop. Vishal Agarwal),"Plot No.A-109,Addl. MIDC,Barsi Road,",,5040
Maharashtra,Latur,M/S Vedant Warehouse,"Gat No. 305, At Post: Jalkot, Dist : Latur",,1363.97
Maharashtra,Latur,M/S Venkatesh Warehouse,"Plot.No.P-63,Addl.MIDC Area,Barsi Road,Latur",,9200
Maharashtra,Latur,M/S Venkateshwara Warehosing (Shri Anand Shriniwasji Lahoti),"X-1,Addl Midc,Latur",,7808.55
Maharashtra,Latur,"M/S Vikas SSK Ltd.,",Nivali,,9912
Maharashtra,Latur,M/S.Madane Ware House,"Baswantpur, Nr. Rly Stn",,4365
Maharashtra,Latur,M/S.Madane Ware House,"Baswantpur, Nr. Rly Stn",,
Maharashtra,Latur,Maharashtra State Warehousing Corporation,"Mz:Gugadal,Tq:Ahmedpur",,1755.93
Maharashtra,Latur,Maharashtra State Warehousing Corporation,Latur,,9306.99
Maharashtra,Latur,Mahaveer Warehousing & Cold Storage,"Gno-25,Arvi,Tq&District-Latur",,6791.13
Maharashtra,Latur,Mr. Satish Pandurang Bangad,"Gno-395,Shera,Tq.Renapur",,180
Maharashtra,Latur,Mrs.Seema Santilal Sabu,"Gno-339,Bhatangali,Tq:Latur",,4080.86
Maharashtra,Latur,Ms Kisan Mitra Cold Storage Pvt Ltd,,Smt Smita Sanjay Atachit,5000
Maharashtra,Latur,Ms S P Cold Storage,,Shri Vaishali Shivkumar Gulange,5000
Maharashtra,Latur,Ms Venkateshwara Agrotech,A 100 Additional MIDC Harangul B K Latur Dist,Shri Anand Shriniwas Lahoti,4225
Maharashtra,Latur,R.J.Warehouse,"Gno-4,Warwanti,At Arvi,Tq:Latur",,3498.75
Maharashtra,Latur,"Rajtara Warehouses(S.M.Bhutada,S.D.Bhutada,SDB)","Gno-68,At Warwanti,Tq:Latur",,6736
Maharashtra,Latur,Sai Agro Ware House (Prop: Sou Sonali Nilesh Patil),"Gat No. 145, Kowalkhed, Tal: Udgir, Dist: Latur",,2400
Maharashtra,Latur,Sangameshwar Agro Warehouse,"Malewadi, Bidar Road, Udgir, Tal: Udgir, Dist: Latur - 413 517",,2900
Maharashtra,Latur,Shri Nandkishor Omprakash Paprunia (Keshar Warehouse),"Gut No. 81, Gangapur, Tal. Dist. Latur",,3060.23
Maharashtra,Latur,Shri Venkateshwara Warehousing,"Sno-16/2,Malkapur,Tq.Udgir",,3954.69
Maharashtra,Latur,Shri Vithal Warehouse (Prop. Balaji Prakash Bothikar),"Somnathpur, Nanded Road, Udgir, Tal: Udgir, Dist: Latur",,6350
Maharashtra,Latur,Soni Warehouse (Prop. Soni Satyanarayan Shrirangji),"Survey No.28, HR No.22/14, Maharana Pratap Nagar, Nanded Road, Latur",,2800
Maharashtra,Latur,Vikas Sahakari Sakhar Karkhana Ltd,"Vaishalinagar, Niwali, Tal & Dist: Latur",,10000
Maharashtra,Latur,Vinayaka Agrowarehouse (Mr. Ishwar Prasad Baheti & 2 Others),"Pl-D-14-16,Loni,Tq:Udgir",,7019.64
Maharashtra,Latur,Viresh Harishchandra Patil,"Plot No. B-75, Additional MIDC, Latur, Maharashtra",,2172.92
Maharashtra,Latur,Vishnu Warehouse (Sow Sumanbai Vitthalrao Pensalwar),"S No. 40/1, At Post: Loni, Tal: Udgir, Dist: Latur",,9160
Maharashtra,Latur,"Yasin Bashir Shaikh,Nideban","Sr.No-206/2,Nideban,Tq:Udgir",,1000
Maharashtra,Nagpur,APMC Katol,Katol,,588
Maharashtra,Nagpur,APMC Mandhal,"Mandhal , Tq: Kuhi",,200
Maharashtra,Nagpur,APMC Saoner,Main Market Yard Of Saoner,,882
Maharashtra,Nagpur,"APMC, Mandhal","Madhal, Tq:Kuhi",,200
Maharashtra,Nagpur,Aadiwasi Sahkari Sakhar Karkhana,Tarodi(Khurd),,2000
Maharashtra,Nagpur,Anant Harihar Kukde,Gharatwada,,300
Maharashtra,Nagpur,Anisha Warehousing,"Mouza-Mahalgaon,Kampee",,5488.34
Maharashtra,Nagpur,Anjaiya Ramkrishna Madamanchi,"At.P. Nimkheda,Teh. Monda,",,237.838
Maharashtra,Nagpur,Annadata Anaj Bhandar (Prop: Smt. Katyayeni Chinta & Smt Vijaya Lakshimi Karri),"Lohdongri Camp, Po: Dudhala, Tah: Ramtek, Dist:Nagpur - 441 106",,981
Maharashtra,Nagpur,Apana Rice Mill,Nimkheda,,607.347
Maharashtra,Nagpur,Archana Sopan Gabhane,"Plot No.5, Kh No. 98/1, Ph No. 27, Mouza: Wadoda, Tal: Kamptee, Dist: Nagpur",,170
Maharashtra,Nagpur,Ashok Bholaji Balkote,"Survey No.19/1, At : Dhani, Po: Nimkheda, Tal: Manda, Dist: Nagpur",,850
Maharashtra,Nagpur,BIndividual U Nirmaledu Haldar,Mahalgaon,,1445
Maharashtra,Nagpur,"Babasaheb Kedar Ginning , Pressing And Prakriya Sanstha",Saoner,,125
Maharashtra,Nagpur,Belapur Bk. V.K.S.,Kapsi(B),,1300
Maharashtra,Nagpur,Bhagwatsingh Khangar,"12A, Mouza: Bokhara, Dist: Nagpur",,1423
Maharashtra,Nagpur,Bhiwapur Taluka Shetkari Kharedi Vikri Society Ltd.,"At Nakshi, Tq: Bhiwapur",,187
Maharashtra,Nagpur,Bhiwapur Taluka Shetkari Sahkari Kharedi Vikri Society Ltd.,"At Chikhalpur, Tq:Bhiwapur",,587
Maharashtra,Nagpur,Bhupendra Shantilal Suchak,Mahalgaon,,2850
Maharashtra,Nagpur,Chandrakumar P Chandani & Laxman P Parchani,"Kh.No.58, PH NO.31, Mouza Sawadi, Tal. Kamptee, Dist. Nagpur",,6292
Maharashtra,Nagpur,Gala Warehousing,"Kh.133,Mz-Mahalgaon,Tq:kamptee",,6961.91
Maharashtra,Nagpur,Ideal Investments,"Kh.No.17/2,Mz:Kapsi,Tq.Kamptee",,6173.71
Maharashtra,Nagpur,Ishwardas Palasram Dakhole,"At Yeni, Post Yanioni, Tal. Narkhed, Dist. Nagpur (MS)",,250
Maharashtra,Nagpur,"Jagannath Kondiba Tekale,Pimpalgaon",Wadi,,4500
Maharashtra,Nagpur,KIsan Godown (Shri Gangadas Dayaram Selokar),"Sno-2/2,Nandgaon,Tq.Mouda",,552
Maharashtra,Nagpur,Kalmeshwar Taluka Sahkari Shetkari Kharedi Vikri Society Ltd.,"Kalmeshwar, Tq:Kalmeshwar",,109
Maharashtra,Nagpur,Kisanlal Madangopal Bhaiya,"K H No. 138/A-1, Mouza: Mahalgaon, Tal: Kamptee, Dist: Nagpur",,1407
Maharashtra,Nagpur,Ku. Purnima Vishwanathan Buty,"Kh.No.127,At Champa,Tq.Umrer",,1081.69
Maharashtra,Nagpur,M/S APMC Paoni Main Bazar,Paoni,,1200
Maharashtra,Nagpur,M/S APMC Parseoni,Parseoni,,276
Maharashtra,Nagpur,M/S Bablu Totade Distilleries (P) Ltd.,Nagpur,,500
Maharashtra,Nagpur,M/S Gurudeo Warehouses (Prom. Shri Sanjay Komalchand Lunawat),"Kh.No.81,Sawli,Tq.Kamptee",,10865.8
Maharashtra,Nagpur,M/S Hanuman Warehousing Company,Ogalewadi,,3500
Maharashtra,Nagpur,M/S J S Rural Godowns,Selu,,5940
Maharashtra,Nagpur,M/S Jai Ambe Warehouse( Prop. Smt Asha Anil Gupta),"S. No. 196, PH. No. 28, Mouza Hiwara ( Bazar), Tah. Ramtek, Dist. Nagpur",,672.571
Maharashtra,Nagpur,M/S Koparde VKS,Koparde,,123
Maharashtra,Nagpur,M/S Koyna Krushak Seva Sahakari Sanstha Maryadit,Malharpet,,392.064
Maharashtra,Nagpur,M/S Lonand VKS,Lonand,,110
Maharashtra,Nagpur,M/S Purti Agrotech Ltd.,Kalmeshwar,,5794.79
Maharashtra,Nagpur,M/S Purti Power & Sugar Ltd. (Godown 1),"At S.No.69, PH No.27, Mouza Kinhala, Tal Umred, Dist. Nagpur",,9562
Maharashtra,Nagpur,M/S Purti Power & Sugar Ltd. (Godown 2),"At S.No.70, PH No.27, Mouza Kinhala, Tal Umred, Dist. Nagpur",,9562
Maharashtra,Nagpur,M/S Purti Power & Sugar Ltd. (Godown 3),"At S.No.71, PH No.27, Mouza Kinhala, Tal Umred, Dist. Nagpur",,9562
Maharashtra,Nagpur,M/S Radha Krishna Warehouse( Prop. Arunkumar B. Gupta),"Khata No. 98, Mouza Wakeshwar, Tah. Mouda, Dist. Nagpur",,458
Maharashtra,Nagpur,M/S Rudra Warehouse-Kailash Atmaram Waghmare & Others,"Kh No 163/3 ,PH No20,Mouza:Kapsi,Tshsil:Kamptee,Nagpur",,4816
Maharashtra,Nagpur,M/S Shiv Parvati Ware House,"At & Post: Mahadule, Tah: Ramtek, Dist: Nagpur",,750
Maharashtra,Nagpur,M/S Sri Chaitanya Rice Mill,"S.No. 98/1, Mouza Dumri (Kh.), Tal. Parseoni",,2106.7
Maharashtra,Nagpur,"M/S Tirupati Balaji Roadlines, C.A.Road,Nagpur","Mz:Kapsi,Tq:Kamptee,District:Nagpur",,2319.91
Maharashtra,Nagpur,M/S Undale VKS,Undale,,201
Maharashtra,Nagpur,M/S Venkateshwara Rice Mill,"Dumri Stn.,Nandgaon,Tq.Parseoni",,1352.88
Maharashtra,Nagpur,Malgaon VKS,Malgaon,,215
Maharashtra,Nagpur,Manjudevi Rajendraprasad Baid,"Plot No. 34 K, H No. 79, Mouza: Surabardi In Mahadeo Gruh Seva Sahakari Sanstha, Tal: Nagpur, Dist: Nagpur",,1216
Maharashtra,Nagpur,Mr Aditya Pratapsingh R Pawar,"Mauza: Dhapewada, S No. 508, Patwari Halka No. 17, Tehsil: Kalmeshwar, Dist: Nagpur",,927
Maharashtra,Nagpur,Mr. Ammiraju Krishnarao Kanthipudi,"Kh.No.125/6,Nimkheda,Tq.Mouda",,442.89
Maharashtra,Nagpur,Mr. Dhyaneshwar Raghoba Vaidya,"Sno-85/3,Ph.No.66,Mz:Charbha,Tq.Mouda",,580.9
Maharashtra,Nagpur,Mr. Karry Bucchi Reddy,"P.H.46,Mz:Lohadongari,Tq:Ramtek",,946.826
Maharashtra,Nagpur,Mr. Mohan Lal Liladhar Gandhi,"Kh-4/2,Mz:Kelwad,Tq:Saoner",,129.822
Maharashtra,Nagpur,"Mr. Nirajkumar G.Lakhotiya,A/P-Kondhali","Sno-179/1,Mz-Dudhala)Kondhali)",,500
Maharashtra,Nagpur,Mr. Pramodsingh N. Goutam,"Kh.No.294,At Wadona,Taluk-Kalmeshwar",,132.297
Maharashtra,Nagpur,Mr. Sheshyya Venkayya Muppaneni,"Sno-74/2,Banor,Tq:Mauda,NAgpur",,1661.05
Maharashtra,Nagpur,Mr.Suryabhan N Hatwar,"SN 277/2,Mouza-Chokhala,Teh.Ramtek",,607.348
Maharashtra,Nagpur,"Mrs. Savita Arun Kumar Gupta,A/P-Paoni","P.H.No.31,At Karwahi,Tq:Ramtek",,550
Maharashtra,Nagpur,Ms Melghat Cold Chain Pvt Ltd,Tal Kamptee Nagpur Bhandara Road Dist Nagpur,Shri Aditya Jhunjhunwala,5000
Maharashtra,Nagpur,Ms/ Mahajan Storage Company,"Plot-B-1,Katol Individual Area,Dongargaon",,9200.78
Maharashtra,Nagpur,Prashant Bhaiya,"K.H.No.138/A-6, Mouza, Mahalgaon, Tal. Kamptee, Dist. Nagpur",,1773
Maharashtra,Nagpur,"Purti Sakhar Karkhana Ltd.,",Bela,,10000
Maharashtra,Nagpur,Purushottam Femaji Zade,"A/P Chacher, Tal. Mouda, Dist. Nagpur",,736
Maharashtra,Nagpur,Rangrao Ghanshyam Gandole & K.R.Gandole,Kapsi(B),,1300
Maharashtra,Nagpur,Sh Pandurang Nilkanth Darode,"At & Post Chacher, Tq Mouda",,500
Maharashtra,Nagpur,Shivaji Subbarao Virgandham,Nimkheda,,607.347
Maharashtra,Nagpur,Shree Marketing (Prop. Bagwatiprasad Daga & Smt. Pramilabai Daga),"Kh. No. 8/1, Mouza- Chicabhavan, Tal: Kamleshwar, Dist: Nagpur",,9937
Maharashtra,Nagpur,"Shri Anandrao Baliramji Dhanjode,Kuhi","Sno-319,Mz & Tq:: Kuhi",,350
Maharashtra,Nagpur,Shri Ballabhdas Gopaldas Gandhi,"Ward No. 2, Gram -Jatamkhora, Tahsil Saoner",,258
Maharashtra,Nagpur,Shri Dnyaneshwar Rao Sitaramayya Chigurupati,"At Tuman, Tal. Mouda",,1287.8
Maharashtra,Nagpur,Shri Gaurav Pawankumar Poddar,"Sno-204/3,207/3,Mahalgaon,Tq:Kamptee",,2192.97
Maharashtra,Nagpur,Shri Jagdish Mahavir Kothe,"Sno-420/2,At Reoral,Tq.Mouda",,602.4
Maharashtra,Nagpur,Shri Laxman Fagoji Ambilduke,"At Post Chacher, Tah. Mouda",,600
Maharashtra,Nagpur,Shri Narsing Fulchand Dadure,"S.No.621/3,At Rewaral,Tq.Mouda",,1200.06
Maharashtra,Nagpur,Shri Pururshottam Agrawal,"Sno.158/6,Mz.Mahalgaon,Tq.Kamptee",,2663.87
Maharashtra,Nagpur,Shri Purushottam Vishnu Ghugal,Nazul-Wardhamna,,987.5
Maharashtra,Nagpur,Shri Rakesh Narayandas Joshi,"K.H.No.111/2,Dongargaon,Tq.Nagpur",,3837.61
Maharashtra,Nagpur,Shri Shankar Ramji Giradkar,"Sno-1,Wadandra,Tq. Umred",,114
Maharashtra,Nagpur,Shri Vivek Prabhakarrao Dani,"Kh.132/1,Ph.No.84,Mz:Ukhali,Tq.Bhiwapur",,127.758
Maharashtra,Nagpur,Shri. Ganpat Baburao Bhoite & Others,Ekambe,,259
Maharashtra,Nagpur,Shri. Kari Gangareddy Shriramreddy,Dudhala,,500
Maharashtra,Nagpur,Shri. Panduranga Nilkanth Darode,Chacher,,500
Maharashtra,Nagpur,Shri. Prakash Khemraj Gedam,Mangaon,,692.495
Maharashtra,Nagpur,Shri. Ratnakar Janardan Kadu,Nimba,,178
Maharashtra,Nagpur,Shri. Shankarlal Mohanlal Agrawal,Mouza Ranala,,2500
Maharashtra,Nagpur,Shri. Shirish S. Chakradeo,Mouza Ooti,,500
Maharashtra,Nagpur,Smt Leelabai Gulabrao Wankhede,"Kh No. 112, Patwari Halka No. 6, Gram Panchayat: Rajoli, Tehsil: Mouda, Dist: Nagpur",,4735.57
Maharashtra,Nagpur,Smt Ranjudevi Surana,"Plot No. 24 K, H No. 79, Mouza: Surabardi In Mahadeo Gruh Seva Sahakari Sanstha, Tal: Nagpur, Dist: Nagpur",,1216
Maharashtra,Nagpur,Smt Ratna Motwani & Shobha Motwani,"Kh No. 155/1, 155/2, 155/3, Mouza - Lihigaon, Lihigaon Kamptee Road, Tah: Kamptee, Dist: Nagpur",,3341
Maharashtra,Nagpur,Smt. Janabai Gajanan Zade,"Plot.184,Mz:Nimkheda,Tq.Mouda",,300.413
Maharashtra,Nagpur,"Smt. Kiran Pawankumar Poddar,Mahalgaon","Sno-204/3,207/3,Mahalgaon,Tq:Kamptee",,1739.39
Maharashtra,Nagpur,Smt. Rohini Vishwanath Buti,Champa,,400
Maharashtra,Nagpur,Smt. Shobha Fattechand Basine,Navegaon,,250
Maharashtra,Nagpur,Sreeram Chotmal Chandak,Kapsi(B),,1725
Maharashtra,Nagpur,Sudhir Ramachandra Yawalkar,"S.No. 111/3, PH. No. 55, Mouza Aroli, Tah. Mouda",,
Maharashtra,Nagpur,Swawlambi Magaswargiya Anna Dhanya Prakriya Soc.,"Sawangi (Mohgaon), Tq:Kalmeshwar",,288
Maharashtra,Nagpur,Swawlambi Magaswargiya Anna Dhanya Prakriya Soc.,"Sawangi (Mohgaon), Tq:Kalmeshwar",,
Maharashtra,Nagpur,Ujwala Kamlesh Dadhe,"Kh.No. 76/4, At Mouza: Chinchbhavan, Tal: Kamleshwar, Dist: Nagpur",,8712
Maharashtra,Nagpur,UnchkhadakBk. V.K.S. S.Scty.,Mahalgaon,,1445
Maharashtra,Nagpur,Usha Panwelkar Warehousing,Mouza Vela,,500
Maharashtra,Nagpur,"Vijay Sahakari Bhat Girni Ltd., Weltur","At Weltur, Tq: Kuhi",,500
Maharashtra,Nagpur,Vinod Gulabrao Kende,Kapsi(B),,1300
Maharashtra,Nagpur,Wagheri V.K.S,Mahalgaon,,1915
Maharashtra,Nanded,Annapurna Grameena Godown,"Sur.No.126, Pimpalgaon, Nanded",,3256
Maharashtra,Nanded,Balaji Agro Ware House Co,"S No. 343, Berli, Tal: Loha, Dist: Nanded",,1570
Maharashtra,Nanded,Balaji Warehouse (Prop: Smt. Laxmibai Vithalrao Misale),"Gut No. 408/AA, Khanapur, Post: Khanapur, Tal: Degloor, Dist: Nanded",,3666.3
Maharashtra,Nanded,Ganga Warehouse ( Mrs. Shakuntala Omprakash Kakani & Mrs. Ratan Purushottam Kakani),"Sno.215-216,At Atkur,Tq.Dharmabad",,7529
Maharashtra,Nanded,JayhIndividual V.K.S. Ltd.Kavathesar,Umarkhed,,1814.4
Maharashtra,Nanded,Krishi Vaibhav Sahakari Prakriya Sanstha,"Savali, Aarni",,500
Maharashtra,Nanded,M/ S GovIndividual Ware House And Cold Storage,"Khanapur, Degloor",,2080
Maharashtra,Nanded,M/S Bhosle Agro Service,Babhulgaon,,1000
Maharashtra,Nanded,M/S Bomnale Warehousing,"Gat. No. 205, MIDC Palsgaon,Tal. Naigaon",,1333
Maharashtra,Nanded,M/S Diamond Agro Centre,Babhulgaon,,1000
Maharashtra,Nanded,M/S Donkewar Agro Warehouse (Prop. Datta Bhumanna Donkewar),"S.No.67, At Sarkhani, Tal. Kinwat, Dist. Nanded",,992.16
Maharashtra,Nanded,M/S Gajanan Agro Services,"S No. 25, At: Kothari (Chi), Kinwat, Tal: Kinwat, Dist: Nanded",,990.684
Maharashtra,Nanded,M/S Ganesh Individual Ustries,"Plot No.A-6/6/11 To A-6/3/14, MIDC Nanded, Village Gopalchawdi",,1621.72
Maharashtra,Nanded,M/S Gautam Warehouse,"S.No.152/1/C, A/P Ratnali, Tal. Dharmabad, Dist. Nanded",,3363.7
Maharashtra,Nanded,M/S Giriraj Engineers(Prop.Praful S. Bachewar),"Plotno.E-1/2,MIDC,Nanded",,1446.58
Maharashtra,Nanded,M/S Golden Storage Co,Babhulgaon,,1000
Maharashtra,Nanded,M/S Gomtesh Warehousing (Sau.Sujata Rajkumar Pande & Others),"151/1-2,Banali Rd.,Dharmabad",,8452.09
Maharashtra,Nanded,M/S Kamal Warehousing,"Khatkhut Road, Babapur, Sajja Dhaba, Tal: Ardhapur, Nanded",,996
Maharashtra,Nanded,M/S Katkamwar Warehousing Co.,"Gno-343,At Berali,Tq.Loha,Nanded",,989.82
Maharashtra,Nanded,"M/S Kothari Associates,Chikhali",Gopal Chawdi,,500
Maharashtra,Nanded,M/S L. B. Warehousing,Dharmabad,,5000
Maharashtra,Nanded,M/S Lalani Enterprises,Babhulgaon,,1223
Maharashtra,Nanded,M/S Mahalaxmi Warehouse ( Prop: Mrs Rekhatai Aatmaram Dhulgande),"At Post: Kurula, Tal: Kandhar, Dist: Nanded",,990
Maharashtra,Nanded,M/S Mamidwar Warehouse,"At: Mendhaka, Tal: Mudkhed, Dist: Nanded",,1320
Maharashtra,Nanded,M/S Nanded Enterprises,Babhulgaon,,1223
Maharashtra,Nanded,"M/S Nanded Roller Flour Mills Pvt. Ltd.,",Nanded,,1799
Maharashtra,Nanded,M/S New Govind Warehouse (Prop. Shri Santosh Madhukar Narlawar),"Kh.No.298(P),At Khanapur,Tq. Degloor",,2135.35
Maharashtra,Nanded,M/S Pandilwar Warehouse,"Sno-173,Mz:Lakhmapur,Tq.Mukhed",,1270.91
Maharashtra,Nanded,M/S Parvati Fertilizers Pvt. Ltd.,"At Dhankani,Tq&Dist.Nanded",,1400
Maharashtra,Nanded,M/S R.K.Warehouse,"Sno-215,Atkur,Tq:Dharmabad",,7420
Maharashtra,Nanded,M/S Raghvendra Warehousing (Prop. Sou. Ujjwala Shashikant Chidrawar),"Sno-298A At Khanapur,Tq.Degloor",,2877.45
Maharashtra,Nanded,M/S Sai Agro Warehouse,"Ambala(Vill), Tal: Hadgaon, Dist: Nanded",,1000
Maharashtra,Nanded,M/S Salasar Ware House (Smt. Veenadevi Kamalkishor Kankani & Shri Chaturbhuj Mulchand Darak),"Gno-36,A/O-Gundegaon,Tq.Nanded",,6346
Maharashtra,Nanded,"M/S Salasar Warehouse, Dharmabad (Shri Omprakash Rajaram Kakani)","S.No. 215/216, At Atkur, Tq. Dharmabad, Dist. Nanded",,8048.04
Maharashtra,Nanded,M/S Shubham Warehouseing,Tuppa,,7021
Maharashtra,Nanded,M/S Tirumala Industries,"E-8,Midc Area,Nanded",,1181.85
Maharashtra,Nanded,M/S Tirumala Warehousing,Kordalwadi,,1470
Maharashtra,Nanded,MS R K Cold Storage,,Smt Rajkumari Subodh Kakani,5000
Maharashtra,Nanded,Madhukar Shankarappa Deshmane,"Gno-202,At & Tq.Bhokar",,1003.19
Maharashtra,Nanded,Maharashtra State Warehousing Corporation,"Midc,Plot B-14,Nanded",,4500
Maharashtra,Nanded,Maharashtra State Warehousing Corporation,"Gno-1174,RAver",,1755.93
Maharashtra,Nanded,Maharashtra State Warehousing Corporation,"APMC,Telhara",,1755.93
Maharashtra,Nanded,Mauli Warehouse ( Prop: Shri Pravin Abhinandan Jawakar & Shri Ganesh Krishanrao Patharkar),"Gut No. 131/4, At: Murma, Tal: Paithan, Dist: Aurangabad",,1095.04
Maharashtra,Nanded,Mr Suresh Namdeo Gore,Tuppa,,3517
Maharashtra,Nanded,"Narsimha Warehousing & Cold Storage ,","Gno-42,Mailapur Bechirak,Tq.Degloor",,2755.95
Maharashtra,Nanded,Prasant Warehousing(Renuka(Raju) P. Parsewar,"GNo-195,A/P- Tuppa",,11886.2
Maharashtra,Nanded,"Priyadarshini Sahkari Soot Girni Ltd.,Shirur",Tuppa,,1685
Maharashtra,Nanded,Ram Vithal Chidrawar,"Gut No.178, Jawahar Nagar, Bhaigaon Road,Tuppa,Tq.Nanded",,2600.64
Maharashtra,Nanded,Ravi Govindrao Tirmanwar,"R/O: Kinwat, Near Ramesh Talkies, Dist: Nanded",,500
Maharashtra,Nanded,Ravikar Warehouse ( Prop. Gangabai Gopalrao Gaikwad),"At Post: Paratpur, Tal: Mukhed, Dist: Nanded",,1000
Maharashtra,Nanded,Sai Vitthal Warehouse Degloor,"S.No. 408 A, Khanapur, Tal. Degloor",,2080
Maharashtra,Nanded,Sau Sushma Gangadhar Polawar & Sow Sunanda Gangadhar Pattewar,"Nanded-Hyderabad Road, At: Degaon, Tal: Naigaon (Kh), Dist: Nanded",,3058
Maharashtra,Nanded,Sau.Sunanda Gangadharrao Pattewar,"GPH No.669,At Naigaon,Tq.Naigaon(Kh)",,287.222
Maharashtra,Nanded,Shree Jagdamba Oil Industries,"D-92, MIDC, Nanded",,2800
Maharashtra,Nanded,Shri Ajay Shankar Chadawar,"Sr.No.25,At Kothari(Chi),Tq.Kinwat",,989.472
Maharashtra,Nanded,Shri Jai Shivshankar SSK Ltd.,"At Sheshnagar,Manjari,Tq.Mukhed",,10012.8
Maharashtra,Nanded,"Shri Krishna V.K.S. Sty. Ltd.,Rajapurwadi",Vasant Nagar,,10000
Maharashtra,Nanded,"Shri Rajaram Tippaji Naik,Nanded","Sno-381,Mz:Kurula,Tq:Kandhar",,820
Maharashtra,Nanded,Shri Rajendra Shankar Chadawar,"Sr.No.25,At Kothari(Chi),Tq.Kinwat",,990.684
Maharashtra,Nanded,Shri Ram Vithal Chidrawar,"Gno-178,Jawahar Nagar,Tuppa",,13945.1
Maharashtra,Nanded,Shri Sangmeshwar Agrowarehouse,"A/P-Paratpur,Tq.Mukhed",,963.783
Maharashtra,Nanded,Shri Sangmeshwar Warehouse,"Sno-96/D,Umardhari,Tq.Mukhed",,3612.25
Maharashtra,Nanded,Shri Santosh S. Palshikar,"S.No.351/5, A/P Himayatnagar (Kinwat Road), Tal. Himayatnagar, Dist. Nanded",,1553
Maharashtra,Nanded,Shri Subhash Vaijanathappa Saraf,"C-30,Gopalchowdi, Balirampur, Tal& Dist. Nanded",,1896
Maharashtra,Nanded,Shri Venkateshwara Agro Warehouse (Prop: Sow Archana P Vattamwar),"At: Paratpur (Mukramabad), Tal: Mukhed, Dist: Nanded",,2000
Maharashtra,Nanded,Shri. Uttam Kondji Kadam,Limbgaon,,200
Maharashtra,Nanded,Shubham Warehouse (Raju Pralhad Parsewar),"Gut No. 178, At Po: Tuppa, Tal:& Dist: Nanded",,5406.68
Maharashtra,Nanded,Shyamsundar Shivprasad Tela,Tuppa,,2248
Maharashtra,Nanded,Smt Shahista Parvin,"Mukhed, Tal: Mukhed, Dist: Nanded",,1000
Maharashtra,Nanded,Smt Shobha Uttam Chaudhari,"Mukhed, Tal: Mukhed, Dist: Nanded",,1800
